User_Questions,Bot_Response
How much does junior savings pay?,"Junior Savings earns 2.25% per annum — higher than our standard savings rate — and interest is paid quarterly in March, June, September and December."
When is interest paid on junior savings?,"Junior Savings earns 2.25% per annum — higher than our standard savings rate — and interest is paid quarterly in March, June, September and December."
Does the kids account earn more interest?,"Junior Savings earns 2.25% per annum — higher than our standard savings rate — and interest is paid quarterly in March, June, September and December."
What's the interest rate on a savings account?,"Our standard Savings Account earns 2% per annum, with interest calculated monthly."
How much interest will I earn on savings?,"Our standard Savings Account earns 2% per annum, with interest calculated monthly."
What does a regular savings account pay?,"Our standard Savings Account earns 2% per annum, with interest calculated monthly."
savings account interest rate,"Our standard Savings Account earns 2% per annum, with interest calculated monthly."
How often is savings interest calculated?,"Our standard Savings Account earns 2% per annum, with interest calculated monthly."
What is the Golden Savings Account?,The Golden Savings Account is designed for saving toward a specific goal. It earns 2.25% per annum and requires monthly deposits in multiples of $100.
Tell me about golden savings,The Golden Savings Account is designed for saving toward a specific goal. It earns 2.25% per annum and requires monthly deposits in multiples of $100.
